name_indo,name_hanzi,name_pinyin,road,gps_lat,gps_lon,address,ref_no,id,num_images,region
VIHARA TRIDHARMA BUMI RAYA,山口洋中央伯公廟,Shan Kou Yang Zhong Yang Bo Gong Miao,PUSAT KOTA SINGKAWANG,0.9095222222222222,108.98900555555555,"Jl. Sejahtera No.1, RT 48/06 Kelurahan Melayu",1,B1,6,Barat (West)
VIHARA TRIDHARMA ADI MOKKHA,華嶽宮/華光帝(華都街),Hua Yue Gong / Huang Guang Di,JL. P. DIPONEGORO,0.9071416666666667,108.98676111111111,"Jl. P. Diponegoro No.1, RT 02/01 Kelurahan Pasiran",2,B2,6,Barat (West)
VIHARA TRIDHARMA KALAMA KWANTI,協天官/關帝(華都街),Xie Tian Gong / Guan Di,JL. P. DIPONEGORO,0.9073611111111112,108.98661666666666,"Jl. P. Diponegoro No.1, RT 02/01 Kelurahan Pasiran",3,B3,6,Barat (West)
CETIYA FA SAN THAI CIONG,華山大将廟(吧西蘭),Hua Shan Da Jiang Miao,JL. P. DIPONEGORO,0.9027138888888889,108.98135833333333,"Jl. P. Diponegoro Gg. Tujuh Belas, RT 56/18 Kelurahan Pasiran",,B4,,Barat (West)
VIHARA DHARMA BUDDHA MAITREYA,彌勒大道慧發佛堂,Mi Le Da Dao Hui Fa Fo Tang,JL. SM. TSJAFIOEDDIN,0.90845,108.98293611111112,"Jl. SM. Tsjafioeddin No.32, RT 14/06 Kelurahan Melayu",,B5,,Barat (West)
CETIYA CHI SAN FAB JAN,慈善法院,Ci Shan Fa Yuan,JL. SM. TSJAFIOEDDIN,0.9085444444444445,108.98266111111111,"Jl. SM. Tsjafioeddin, RT 14/06 Kelurahan Melayu",,B6,,Barat (West)
VIHARA TRI RATNA,三尊雷藏寺(吧西蘭),San Zun Lei Cang Si,JL. P. ANTASARI,0.9046861111111111,108.9816388888889,"Jl. P. Antasari No.77A, Kel. Pasiran",6,B7,7,Barat (West)
CETIYA PIT TET KIUNG,必德宮(吧西蘭),Bi De Gong,JL. P. ANTASARI,0.8997777777777778,108.97373611111111,"Jl. Bukit Barisan, RT 41/15 Kelurahan Pasiran",,B8,,Barat (West)
CETIYA SAM CHIN MIAU,三清廟(吧西蘭),Shan Qing Miao,JL. P. ANTASARI,0.8967722222222222,108.97223333333334,"Jl. Gunung Poteng, RT 35/16 Kelurahan Pasiran",,B9,,Barat (West)
CETIYA 18 LOHON,十八羅漢(華都背),Shi Ba Luo Han (Hua Du Bei),JL. HERMANSYAH,0.9091694444444445,108.98518888888889,"Jl. Hermansyah Gg. Ampera No.33C, RT 30/10 Kelurahan Melayu",,B10,,Barat (West)
VIHARA (BUDDHAYANA) METTA BHAWANA,觀音堂/齋堂(華都背),Guan Yin Tang / Zhai Tang (Hua Du Bei),JL. HERMANSYAH,0.9134416666666667,108.98650833333333,"Jl. Hermansyah No.25, RT 26/07 Kelurahan Melayu",,B11,,Barat (West)
VIHARA PARITTA PANDANA (SIN FO CAI THONG),瑑善宮(新和齋堂),Zhuan Shan Tang (Xin He Zhai Tang),JL. HERMANSYAH,0.9096083333333334,108.98384166666666,"Jl. Dwi Tunggal, RT 33/09 Kelurahan Melayu",,B12,,Barat (West)
VIHARA VIMALA KIRTI,尼西蓮庄休佛堂,Ni Xi Lian Zhuang Xiu Fo Tang,JL. PEMBANGUNAN,0.9144888888888889,108.96913888888889,"Jl. Pembangunan No.17, RT 07/02 Kelurahan Melayu",,B13,,Barat (West)
CETIYA SAK CHI THAN,石慈壇,Shi Ci Tan,JL. PARIT KETAPANG,0.91725,108.98571944444444,"Jl. Parit Ketapang 2, RT 15/03 Kelurahan Melayu",41,B14,5,Barat (West)
VIHARA TRIDHARMA BUMI RAYA THAI PAK KUNG,大伯公(三條港),Da Bo Gong (San Tiao Gang),JL. ALIANYANG,0.8973083333333333,108.97119722222223,"Jl. Alianyang No.46, RT 34/14 Kelurahan Pasiran",13,B15,7,Barat (West)
YAYASAN DHARMA AVALOKITESVARA,守孝公共佛堂,Shou Xiao Gong Gong Fo Tang,Jl. ALIANYANG,0.9110027777777778,108.97638333333333,"Jl. Tani, RT 04/01 Kelurahan Kuala",,B16,,Barat (West)
VIHARA BUDHI MAKMUR,興毅南興佛堂,Xing Yi Nan Xing Fo Tang,Jl. ALIANYANG,0.9063611111111112,108.97760277777778,"Jl. Alianyang No.7C, RT 43/06 Kelurahan Pasiran",,B17,,Barat (West)
VIHARA CUNG NYI THONG,忠義堂,Zhong Yi Tang,Jl. ALIANYANG,0.9123972222222222,108.98194722222222,"Jl. Alianyang Gg. Lestrari, RT 23/08 Kelurahan Melayu",,B18,,Barat (West)
CETIYA SHIN NUNG MIAU / NG KUK JA,神農廟/五谷爷,Shen Nong Miao / Wu Gu Ye,JL. TANI,0.9072222222222223,108.97162777777778,"Jl. Tani, RT 14/03 Kelurahan Pasiran",40,B19,5,Barat (West)
VIHARA MAITREYA BAHTERA SUCI,道岸佛堂,Dao An Fo Tang,JL. TANI,0.914425,108.97988333333333,"Jl. Tani Gg. Restu No.39, RT 02/01 Kelurahan Kuala",,B20,,Barat (West)
CETIYA FA SAN THAI HEU,華山大猴廟,Hua Shan Da Hou Miao,JL. TANI,0.9069333333333334,108.97103055555556,"Jl. Tani 2, RT 14/03 Kelurahan Pasiran",,B21,,Barat (West)
CETIYA THAI PAK KUNG,大伯公廟,Da Bo Gong Miao,JL. TANI,0.8960833333333333,108.96441111111112,"Jl. Tani Gg. Padi, RT 34/15 Kelurahan Pasiran",,B22,,Barat (West)
CETIYA TRIDHARMA DEWI PADI / NG KUK PHO,神農宮/五谷婆,Shen Nong Gong / Wu Gu Po,JL. TANI,0.90215,108.96983888888889,"Jl. Tani Gg. Camar, RT 39/15 Kelurahan Pasiran",,B23,,Barat (West)
CETIYA TRIDHARMA CHI PO KIUNG,慈保公,Ci Bao Gong,JL. TANI,0.9047111111111111,108.96856944444444,"Jl. Tani Gg. Nuri, RT 39/15 Kelurahan Pasiran",,B24,,Barat (West)
CETIYA THIAN SAN KUNG KUNG,天山公公廟,Tian Shan Gong Gong Miao,JL. TANI,0.9112555555555556,108.97391944444445,"Jl. Tani Gg. Cimahi, RT 04/01 Kelurahan Kuala",,B25,,Barat (West)
CETIYA NAM HOI KON JIM NYIONG NYIONG,南海觀音娘娘廟,Nan Hai Guan Yin Niang Niang Miao,JL. TANI,0.9111527777777778,108.97381111111112,"Jl. Tani Gg. Cimahi, RT 04/01 Kelurahan Kuala",,B26,,Barat (West)
CETIYA SI THAI THIAN BONG,四大天王廟,Si Da Tian Wang Miao,JL. TANI,0.9104777777777778,108.976575,"Jl. Tani Gg. Pekong, RT 04/01 Kelurahan Kuala",,B27,,Barat (West)
CETIYA KIM SAN PAK KUNG,金山伯公廟,Jin Shan Bo Gong Miao,JL. TANI,0.9075833333333334,108.97646666666667,"Jl. Tani Gg. Seksama, RT 04/01 Kelurahan Kuala",,B28,,Barat (West)
CETIYA KIM SAN MIAU,金山廟,Jin Shan Miao,JL. KELAPA DUA,0.9130166666666667,108.97314444444444,"Jl. Kelapa Dua, RT 04/01 Kelurahan Kuala",,B29,,Barat (West)
CETIYA FAB SHI MIAU,法師廟,Fa Shi Miao,JL. KELAPA DUA,0.9114694444444444,108.97325000000001,"Jl. Kelapa Dua, RT 13/03 Kelurahan Kuala",,B30,,Barat (West)
