name_indo,name_hanzi,name_pinyin,road,gps_lat,gps_lon,address,ref_no,id,num_images,region,,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA,山口洋中央伯公廟,Shan Kou Yang Zhong Yang Bo Gong Miao,PUSAT KOTA SINGKAWANG,0.909444444,108.9888889,"Jl. Sejahtera No.1, RT 48/06 Kelurahan Melayu",1,w1,6,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA ADI MOKKHA,華嶽宮/華光帝(華都街),Hua Yue Gong / Huang Guang Di,JL. P. DIPONEGORO,0.906944444,108.9866667,"Jl. P. Diponegoro No.1, RT 02/01 Kelurahan Pasiran",2,w2,6,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA KALAMA KWANTI,協天官/關帝(華都街),Xie Tian Gong / Guan Di,JL. P. DIPONEGORO,0.907222222,108.9863889,"Jl. P. Diponegoro No.1, RT 02/01 Kelurahan Pasiran",3,w3,6,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA,港尾大伯公廟(港尾),Gang Wei Da Bo Gong (Gang Wei),PASAR TURI,0.905277778,108.9927778,"Jl. Pasar Turi No.21, RT 12/04 Kelurahan Pasiran",4,w4,5,Barat (West),,,,,,,,,,,
VIHARA TUNG SHIN KIUNG / THAI SHIN JA,東聖官/大聖爺(蓮堂路),Dong Sheng Gong (Lian Tang Lu),JL. P. NATUNA,0.902222222,108.9894444,"Jl. P. Natuna No.131, RT 15/08 Kelurahan Pasiran",5,w5,7,Barat (West),,,,,,,,,,,
VIHARA TRI RATNA,三尊雷藏寺(吧西蘭),San Zun Lei Cang Si,JL. P. ANTASARI,0.904444444,108.9813889,"Jl. P. Antasari No.77A, Kel. Pasiran",6,w6,7,Barat (West),,,,,,,,,,,
VIHARA SHI THIAN FUT CU,西天佛祖廟,Xi Tian Fo Zu Miao,GUNUNG SARI,0.889722222,108.9769444,"Jl. Gunung Sari Gg. Puncak sari, RT 30/12 Kelurahan Pasiran",11,w7,9,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA DEWI SAMUDERA,天后宮/天后聖母,Tian Hou Gong / Tian Hou Sheng Mu,JL. SAMAN BUJANG,0.906666667,108.9872222,"Jl. Saman Bujang No.29, RT 11/03 Kelurahan Pasiran",12,w8,9,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA THAI PAK KUNG,大伯公(三條港),Da Bo Gong (San Tiao Gang),JL. ALIANYANG,0.897222222,108.9711111,"Jl. Alianyang No.46, RT 34/14 Kelurahan Pasiran",13,w9,7,Barat (West),,,,,,,,,,,
CETIYA KON JIM KIUNG,觀音官(石角),Guan Yin Gong (Shi Jiao),JL. A. YANI / SAKKOK,0.891666667,108.9652778,"Jl. A. Yani No.24, RT 33/14 Kelurahan Pasiran",15,w10,7,Barat (West),,,,,,,,,,,
