name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no
CETIYA THAI PAK KUNG,大伯公壇(盧萬新路),Da Bo Gong Tan (Lu Wan Xin Lu),JALAN BARU-ROBAN,0.8922222222222221,109.0125,"Jl. Baru, RT 44/09 Kelurahan Roban",
VIHARA TRIDHARMA TERATAI,三教堂(盧萬新路),San Jiao Tang (Lu Wan Xin Lu),JALAN BARU-ROBAN,0.8886111111111111,109.00583333333333,"Jl. Gunung Roban / Jl. Baru, RT 57/12 Kelurahan Roban",
VIHARA PET TI KIUNG / THAI PAK KUNG,北帝宮-大伯公(盧萬新路),Bei Di Gong / Da Bo Gong (Lu Wan Xin Lu),JALAN BARU-ROBAN,0.8902777777777777,109.0025,"Jl. Gunung Roban / Jl. Baru, RT 57/12 Kelurahan Roban",
VIHARA TRIDHARMA UTAMA / THAI PAK KUNG,大伯公廟(盧萬打麻房),Da Bo Gong Miao (Lu Wan Da Ma Fang),GUDANG TAMA-ROBAN,0.9002777777777778,109.01194444444444,"Jl. Gudang Tama No.20, RT 29/08 Kelurahan Roban",
CETIYA LO CU THIAN SHI,老祖天師壇(盧萬打麻房),Lao Zu Tian Shi Tan (Lu Wan Da Ma Fang),GUDANG TAMA-ROBAN,0.9005555555555556,109.01444444444445,"Jl. Gudang Tama Gg. Bufa, RT 18/03 Kelurahan Roban",
CETIYA KON JIM KIUNG,觀音官(盧萬),Guan Yin Gong (Lu Wan),ROBAN,0.8902777777777777,109.01583333333333,"Jl. Pahlawan, RT 44/09 Kelurahan Roban",16
CETIYA THAI PAK KUNG,大伯公廟(盧萬),Da Bo Gong Miao (Lu Wan),ROBAN,0.8944444444444444,109.01722222222222,"Jl. Pahlawan Gg. Bukit Burung, RT 44/09 Kelurahan Roban",
CETIYA SI THAI KIM KONG,四大金剛(盧萬),Si Da Jin Gang (Lu Wan),ROBAN,0.895,109.0125,"Jl. Pahlawan, RT 26/09 Kelurahan Roban",
VIHARA SAM CHIN FAB JAN,三清法院(盧萬),San Qing Fa Yuan (Lu Wan),ROBAN,0.8952777777777777,109.01,"Jl. Pahlawan Gg. Sinar Karya, RT 26/09 Kelurahan Roban",
CETIYA SHI THIAN FUT CU,西天佛祖壇(盧萬),Xi Tian Fo Zu Tan (Lu Wan),ROBAN,0.8952777777777777,109.01166666666667,"Jl. Pahlawan Gg. Sinar Karya, RT 26/09 Kelurahan Roban",
VIHARA PANNA / THIAN THAI FO THANG,天泰佛堂(盧萬),Tian Tai Fo Tang (Lu Wan),ROBAN,0.9044444444444445,109.0025,"Jl. KS. Tubun No.28, RT 20/09 Kelurahan Roban",
CETIYA LIE KHUI KIUNG,李逵宮(盧萬),Li Kui Gong (Lu Wan),ROBAN,0.8994444444444444,109.00222222222222,"Jl. KS. Tubun Gg.AA, RT 53/11 Kelurahan Roban",
