name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no
CETIYA FA KONG THAI TI,華光大帝壇(馬呀梭吧),Hua Guang Da Di Tan (Ma Ya Suo Ba),MAYASOPA,0.8994444444444444,109.12444444444444,"Jl. Raya Seluang, RT 03/02 Kelurahan Mayasopa",
CETIYA KIU THO NYIAN SAI,九道元帥壇(岜加沙哇),Jiu Dao Yuan Shuai Tan (Ba Jia Sha Wa),BAGAK SAHWA,0.8705555555555556,109.08694444444444,"Jl. Raya Bagak Sahwa, RT 03/01 Kelurahan Bagak Sahwa",
CETIYA FA NGOK KIUNG,華嶽宮(岜加沙哇),Hua Yue Gong (Ba Jia Sha Wa),BAGAK SAHWA,0.8708333333333333,109.08611111111111,"Jl. Raya Bagak Sahwa, RT 03/01 Kelurahan Bagak Sahwa",
VIHARA THI CU THAI PAK KUNG KUNG,地主大伯公公廟(岜加沙哇),Di Zhu Da Bo Gong Gong Miao (Ba Jia Sha Wa),BAGAK SAHWA,0.8702777777777778,109.08138888888888,"Jl. Raya Bagak Sahwa, RT 03/01 Kelurahan Bagak Sahwa",
CETIYA CUNG NYI THONG,忠義堂(巴仁丹),Zhong Yi Tang (Ba Ren Dan),PAJINTAN,0.8813888888888889,109.03222222222222,"Jl. Raya Pajintan, RT 08/03 Kelurahan Pajintan",
VIHARA KON JIM THONG,觀音堂(巴仁丹),Guan Yin Tang (Ba Ren Dan),PAJINTAN,0.8819444444444444,109.02916666666667,"Jl. Raya Pajintan, RT 07/03 Kelurahan Pajintan",52
VIHARA SUI TET KIUNG,水徳宮(福律),Shui De Gong (Fu Lu),KULOR,0.8825000000000001,109.02527777777777,"Jl. Pasar Kulor, RT 10/04 Kelurahan Pajintan",53
VIHARA FAB LIN KIUNG / FAB CHIN KUNG,法靈宮/法清公公(福律),Fa Ling Gong / Fa Qing Gong Gong ( Fu Lu),KULOR,0.8866666666666666,109.02472222222222,"Jl. Raya Kulor Gg. Pak Ikal, RT 14/04 Kelurahan Pajintan",
VIHARA TRIDHARMA BUMI RAYA,大伯公宮(福律),Da Bo Gong Gong (Fu Lu),KULOR,0.8875,109.01805555555555,"Jl. Raya Kulor, RT 13/04 Kelurahan Pajintan",
CETIYA NG KAU CU KUNG KIUNG,五教祖公宮(行尾),Wu Jiao Zu Gong Gong (Hang Wei),HANGMUI,0.8658333333333333,109.02055555555556,"Jl. Raya Sanggau Kulor Gg. Budi Daya 1, RT 19/06 Kelurahan Pajintan",
VIHARA SAM BONG KIUNG,三王宮(行尾),San Wang Gong (Hang Wei),HANGMUI,0.8647222222222222,109.02583333333334,"Jl. Hangmui, RT 18/06 Kelurahan Pajintan",
VIHARA FA KONG TI,華光帝宮(行尾),Hua Guang Di Gong (Hang Wei),HANGMUI,0.8686111111111111,109.02833333333334,"Jl. Fa Kong Ti, Hangmui, RT 20/06 Kelurahan Pajintan",
VIHARA THIAN SHI KIUNG / SHI KUNG,天師宮/師公(行尾),Tian Shi Gong / Shi Gong (Hang Wei),HANGMUI,0.8605555555555555,109.03305555555555,"Jl. Fa Kong Ti, Hangmui, RT 20/06 Kelurahan Pajintan",
CETIYA THIAN FAB NG THAI LIN CIONG,天法五大靈將壇(行尾),Tian Fa Wu Da Ling Jiang Tan (Hang Wei),HANGMUI,0.8755555555555555,109.02638888888889,"Jl. Raya Hangmui, RT 17/06 Kelurahan Pajintan",
VIHARA THAI SHIN KIUNG,大聖宮(卢万山),Da Sheng Gong (Hang Wei),GUNUNG ROBAN,0.8877777777777778,109.01472222222222,"Jl. Robansan, RT 13/04 Kelurahan Pajintan",
CETIYA SI THAI KIM KONG,四大金剛壇(新喃),Si Da Jin Gang Tan (Xin Nan),SINNAM-SANGGAU KULOR,0.8752777777777778,108.99361111111111,"Jl. Raya Sanggau Kulor Gg. Kuburan, RT 01/01 Kelurahan Sanggau Kulor",
CETIYA THAI SONG LO KIUN/PHAK LIAN SHI KUNG,太上老君壇 / 白莲师公庙 (上候福律),Tai Shang Lao Jun Tan (Shang Hou Fu Lu),SANGGAU KULOR,0.875,108.99583333333334,"Jl. Raya Sanggau Kulor, RT 01/01 Kelurahan Sanggau Kulor",45
CETIYA THI CU PAK KUNG,地主大伯壇/(上候福律),Di Zhu Da Bo Gong Tan (Shang Hou Fu Lu),SANGGAU KULOR,0.8733333333333334,108.99444444444444,"Jl. Raya Sanggau Kulor Gg. Kuburan, RT 01/01 Kelurahan Sanggau Kulor",
CETIYA THAI PAK KUNG,大伯公壇(上候福律),Da Bo Gong Tan (Shang Hou Fu Lu),SANGGAU KULOR,0.8713888888888889,108.99472222222222,"Jl. Raya Sanggau Kulor, RT 01/01 Kelurahan Sanggau Kulor",
CETIYA THAI PAK KUNG KUNG,大伯公公壇(新路),Da Bo Gong Gong Tan (Xin Lu),JALAN BARU,0.8805555555555555,109.00111111111111,"Jl. Baru Gg. Karet, RT 03/01 Kelurahan Sanggau Kulor",
