name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no
VIHARA NAN MO FUT MU,南無佛母廟(十條港),Nan Mo Fo Mu Miao (Shi Tiao Gang),SEMELAGI KECIL,0.9916666666666666,108.99,"Jl. H. Bakar, RT 02/01 Kelurahan Semelagi Kecil",
VIHARA SAM BU CIONG KIUN,三武將軍廟(八條港),San Wu Jiang Jun Miao (Ba Tiao Gang),SETAPUK KECIL,0.9697222222222223,109.02333333333333,"Jl. Hamid Matali, RT 02/01 Kellurahan Setapuk Kecil",
VIHARA KON JIM - NACA - SAMPO KIUNG,觀音-哪吒-三宝宮(八條港),Guan Yin-Na Zha-San Bao Gong (Ba Tiao Gang),SETAPUK KECIL,0.9694444444444444,109.01583333333333,"Jl. Hamid Matali, RT 04/01 Kellurahan Setapuk Kecil",
VIHARA THAI PAK KUNG KUNG,大伯公公廟(八條港),Da Bo Gong Gong Miao (Ba Tiao Gang),SETAPUK KECIL,0.9730555555555556,108.98944444444444,"Jl. Hamid Matali, RT 08/03 Kellurahan Setapuk Kecil",22
CETIYA THAI PAK KUNG,大伯公壇(七條港),Da Bo Gong Miao (Qi Tiao Gang),SETAPUK KECIL,0.9677777777777777,108.98666666666666,"Jl. Ratu Sepudak, RT 08/03 Kellurahan Setapuk Kecil",
CETIYA TRIDHARMA BUMI RAYA,神農聖帝廟(六條港),Shen Nong Sheng Di Miao (Liu Tiao Gang),SEI. RASAU,0.9624999999999999,108.98722222222223,"Jl. Yunus Yakub, RT 02/01 Kelurahan Sei. Rasau",
CETIYA NYI THAI CI,二太子廟(六條港),Er Tai Zi Miao (Liu Tiao Gang),SEI. RASAU,0.9622222222222222,108.98861111111111,"Jl. Yunus Yakub, RT 02/01 Kelurahan Sei. Rasau",
VIHARA SHIN NUNG KIUNG,神農宮(五條港),Shen Nong Gong (Wu Tiao Gang),SEI. BULAN,0.9555555555555555,108.98861111111111,"Jl. Mesjid, RT 09/04 Kelurahan Sei. Bulan",
VIHARA CHAU THAI NYIAN SAI,元帥堂(四條港),Yuan Shuai Tang (Si Tiao Gang),NARAM,0.9402777777777778,109.00472222222223,"Jl. Trisula No.40, RT 07/03 Kelurahan Naram",
VIHARA TRIDHARMA BUMI RAYA,大伯公壇(四條港),Da Bo Gong Tan (Si Tiao Gang),NARAM,0.9436111111111112,109.00666666666666,"Jl. Sei. Nangka, RT 05/02 Kelurahan Naram",
CETIYA SAM BONG KIUNG,三王宮(四條港),San Wang Gong (Si Tiao Gang),NARAM,0.9436111111111112,109.00444444444445,"Jl. Gunung Kaba' No.25, RT 04/02 Kelurahan Naram",
CETIYA KIM CAU KUNG,金照宮(四條港),Jin Zhao Gong (Si Tiao Gang),NARAM,0.9458333333333333,109.00583333333333,"Jl. Sei. Nangka Gg. Jeruk, RT 04/02 Kelurahan Naram",
CETIYA LIN FAB THONG,靈法堂(三條港),Ling Fa Tang (San Tiao Gang),SEI. GARAM HILIR,0.9400000000000001,108.9961111111111,"Jl. Semai, 05/04 Kelurahan Sei. Garam Hilir",
VIHARA LIM BU CIONG KIUN,林武將軍廟(三條港),Lin Wu Jiang Jun Miao (San Tiao Gang),SEI. GARAM HILIR,0.9327777777777777,108.9825,"Jl. Ratu Sepudak Gg. Sepakat, RT 05/04 Kelurahan Sei. Garam Hilir",
CETIYA TRIDHARMA PANCA SADDHA,大伯公壇(头條港),Da Bo Gong Tan (San Tiao Gang),SEI. GARAM HILIR,0.9311111111111111,108.97944444444444,"Jl. Terminal Induk Gg. Kesehatan, RT 09/04 Kelurahan Sei. Garam Hilir",21
