name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address
CETIYA FAB SHI KUNG KUNG,法师公公坛(长沙吧),Fa Shi Gong Gong Tan (Zhang Sha Ba),PASIR PANJANG,0.8503833333333333,108.88718333333334,"Jl. Pasir Panjang Pak Lotay, RT 64/10 Kelurahan Sedau"
CETIYA FUK SHIN BONG KIUNG,福圣王宮(锅麻港),Fu Sheng Wang Gong (Guo Ma Gang),BOKMAKONG - PASIR PANJANG,0.8355361111111111,108.89793055555556,"Jl. Raya Pasir Panjang (Bokmakong), RT 65/10 Kelurahan Sedau"
VIHARA SHIN TET KIUNG,圣德宮(礼朗),Sheng De Gong (Li Lang),GUNUNG BESI - LIRANG,0.8402833333333334,108.91555277777779,"Jl. Lirang Proyek, RT 49/08 Kelurahan Sedau"
VIHARA DHARMA BUDDHA MAITREYA,彌勒大道仁中佛堂(礼朗),Mi Le Da Dao Ren Zhong Fo Tang (Li Lang),GUNUNG BESI - LIRANG,0.8382416666666667,108.917275,"Jl. Lirang Proyek, RT 50/08 Kelurahan Sedau"
VIHARA FUK BONG KIUNG,福王宮(礼朗),Fu Wang Gong (Li Lang),GUNUNG BESI - LIRANG,0.7704777777777778,108.905225,"Jl. Lirang Proyek, RT 53/08 Kelurahan Sedau"
VIHARA FUT FAB KIUNG,佛法宮(礼朗),Fo Fa Gong (Li Lang),GUNUNG BESI - LIRANG,0.8401666666666667,108.91831111111111,"Jl. Pendidikan (Lirang Proyek), RT 50/08 Kelurahan Sedau"
VIHARA FAB CHIN MIAU,法清庙(礼朗),Fa Qing Miao (Li Lang),GUNUNG BESI (LIRANG),0.8479166666666667,108.85327222222222,"Jl. Gunung Besi Raya, RT 48/08 Kelurahan Sedau"
VIHARA FUK TET KIUNG / KON THIAN PAK KUNG,福德宫/官田伯公(礼朗),Fu De Gong / Guan Tian Bo Gong (Li Lang),GUNUNG BESI - LIRANG,0.8531027777777778,108.92402777777778,"Jl. Telkom Gunung Besi, RT 47/08 Kelurahan Sedau"
CETIYA SAK CIONG KIUN,石将宮(礼朗),Shi Jiang Gong (Li Lang),GUNUNG BESI - LIRANG,0.8498527777777778,108.92365833333334,"Jl. Telkom Gunung Besi, RT 47/08 Kelurahan Sedau"
VIHARA HONG DE,厷德佛堂(礼朗),Hong De Fo Tang (Li Lang),GUNUNG BESI - LIRANG,0.8534944444444444,108.92632222222223,"Jl. Sejahtera No.55, RT 46/08 Kelurahan Sedau"
CETIYA THO FAB SIU LIN,道法授灵坛(亚答港),Dao Fa Shou Ling Tan (Ya Da Gang),SEDAU,0.8612083333333334,108.90467500000001,"Jl. Malindo Teluk Karang Gg. PDAM, RT 39/07 Kelurahan Sedau"
CETIYA LIN SAN KIUNG THONG,灵山宮堂(亚答港),Ling Shan Gong Tang (Ya Da Gang),SEDAU,0.8601166666666666,108.90389166666667,"Jl. Malindo Teluk Karang Gg. PDAM, RT 39/07 Kelurahan Sedau"
VIHARA PET TI KIUNG,北帝宮(亚答港),Bei Di Gong (Ya Da Gang),SEDAU,0.8643111111111111,108.92721666666667,"Jl. Malindo Teluk Karang, RT 40/07 Kelurahan Sedau"
VIHARA SAM CHIN FAB JAN,三清法院(亚答港),San Qing Fa Yuan (Ya Da Gang),SEDAU,0.8696138888888889,108.92611388888889,"Jl. Malindo Teluk Karang No.01, RT 41/07 Kelurahan Sedau"
VIHARA KON JIM MIAU,观音廟(亚答港),Guan Yin Miao (Ya Da Gang),SEDAU,0.85715,108.9178,"Jl. Malindo Teluk Karang (Dalam), RT 40/07 Kelurahan Sedau"
VIHARA TRIDHARMA BUMI RAYA,大伯公廟(亚答港),Da Bo Gong Miao (Ya Da Gang),SEDAU,0.8658666666666667,108.92865277777778,"Jl. Raya Pasar Sedau, RT 36/06 Kelurahan Sedau"
VIHARA SAM SHIN KIUNG,三圣宮(亚答港),San Sheng Gong (Ya Da Gang),SEDAU,0.8654527777777777,108.92909166666666,"Jl. Raya Pasar Sedau, RT 36/06 Kelurahan Sedau"
VIHARA TRIDHARMA BUMI RAYA,石狮大伯公廟(盐町),Shi Shi Da Bo Gong Miao (Yan Ting),JALAN RAYA SEDAU,0.8705222222222222,108.93614166666667,"Jl. Raya Sedau, RT 30/06 Kelurahan Sedau"
VIHARA THAI PAK KUNG KUNG,大伯公公(盐町),Da Bo Gong Gong (Yan Ting),KALIASIN LUAR,0.8713055555555556,108.94262222222223,"Jl. Pasar Kaliasin, RT 23/04 Kelurahan Sedau"
VIHARA KON TI KIUNG,关帝宫(盐町),Guan Di Gong (Yan Ting),KALIASIN,0.871075,108.94182222222223,"Jl. Kaliasin Dalam, RT 29/05 Kelurahan Sedau"
CETIYA CHIANG FA THAI CI MIAU,青华太子廟(盐町肚),Qing Hua Tai Zi Miao (Yan Ting Du),KALIASIN DALAM,0.8601166666666666,108.94345277777778,"Jl. Kaliasin Dalam Gg. Naca, RT 02/01 Kelurahan Sedau"
VIHARA THAI PAK KUNG,大伯公廟(盐町肚),Da Bo Gong Miao (Yan Ting Du),KALIASIN DALAM,0.8611416666666667,108.94483333333334,"Jl. Kaliasin Dalam, RT 25/05 Kelurahan Sedau"
VIHARA NACA HANG KIUNG (THAI CI SAN),哪吒行宮(盐町肚-太子山),Na Zha Hang Gong (Yan Ting Du-Tai Zi Shan),KALIASIN DALAM,0.8623999999999999,108.94925,"Jl. Kaliasin Dalam Gg. Kelenteng Naca, RT 26/05 Kelurahan Sedau"
CETIYA SAM KON MIAU,三官廟(盐町肚),San Guan Miao (Yan Ting Du),KALIASIN DALAM,0.8552222222222222,108.954525,"Jl. Kaliasin Dalam Gg. Durian, RT 26/05 Kelurahan Sedau"
