 NO. , NAMA VIHARA , MANDARIN , GPS ,,, ALAMAT , DESCRIPTION 
1, VIHARA TRIDHARMA BUMI RAYA , 山口洋中央伯公庙 , N  00º  , 43' 34 ," 28"" ", Jl. Sejahtera No.1  , DONE 
, PUSAT KOTA SINGKAWANG ,   Shan Kou Yang Zhong Yang Bo Gong Miao , E 108º  , 59' 20 ," 42"" ", RT 48/06 Kelurahan Melayu ,
2, VIHARA TRIDHARMA ADI MOKKHA , 华嶽官/华光帝(华度街) , N  00º  , 54' 25 ," 71"" ", Jl. P. Diponegoro No.1 , DONE 
, JL. P. DIPONEGORO ,   Hua Yue Gong / Huang Guang Di , E 108º  , 59' 12 ," 34"" ", RT 02/01 Kelurahan Pasiran ,
3, VIHARA TRIDHARMA  KALAMA KWANTI , 协天官/关帝 , N  00º  , 54' 26 ," 50"" ", Jl. P. Diponegoro No.1 , DONE 
, JL. P. DIPONEGORO ,   Xie Tian Gong / Guan Di , E 108º  , 59' 11 ," 82"" ", RT 02/01 Kelurahan Pasiran ,
4, CETIYA FA SAN THAI CIONG , 华山大将庙(吧西兰) , N  00º  , 54' 09 ," 77"" ", Jl. P. Diponegoro Gg. Tujuh Belas ,
, JL. P. DIPONEGORO ,   Hua Shan Da Jiang Miao , E 108º  , 58' 52 ," 89"" ", RT 56/18 Kelurahan Pasiran ,
5, VIHARA DHARMA BUDDHA MAITREYA , 弥勒大道慧发佛堂 , N  00º  , 54' 30 ," 42"" ", Jl. SM. Tsjafioeddin No.32 ,
, JL. SM. TSJAFIOEDDIN ,   Mi Le Da Dao Hui Fa Fo Tang , E 108º  , 58' 58 ," 57"" ", RT 14/06 Kelurahan Melayu ,
6, CETIYA CHI SAN FAB JAN , 慈善法院 , N  00º  , 54' 30 ," 76"" ", Jl. SM. Tsjafioeddin  ,
, JL. SM. TSJAFIOEDDIN ,   Ci Shan Fa Yuan , E 108º  , 58' 57 ," 58"" ", RT 14/06 Kelurahan Melayu ,
7, VIHARA TRI RATNA , 三尊雷藏寺(吧西兰) , N  00º  , 54' 16 ," 87"" ", Jl. P. Antasari No.77A , DONE 
, JL. P. ANTASARI ,   San Zun Lei Cang Si , E 108º  , 58' 53 ," 90"" ", Kel. Pasiran  ,
8, CETIYA PIT TET KIUNG , 必德宮(吧西兰) , N  00º  , 53' 59 ," 20"" ", Jl. Bukit Barisan ,
, JL. P. ANTASARI ,   Bi De Gong , E 108º  , 58' 25 ," 45"" ", RT 41/15 Kelurahan Pasiran ,
9, CETIYA SAM CHIN MIAU , 三清庙(吧西兰) , N  00º  , 53' 48 ," 38"" ", Jl. Gunung Poteng ,
, JL. P. ANTASARI ,   Shan Qing Miao , E 108º  , 58' 20 ," 04"" ", RT 35/16 Kelurahan Pasiran ,
10, CETIYA 18 LOHON , 十八罗汉(华度背) , N  00º  , 54' 33 ," 01"" ", Jl. Hermansyah Gg. Ampera No.33C ,
, JL. HERMANSYAH ,   Shi Ba Luo Han (Hua Du Bei) , E 108º  , 59' 06 ," 68"" ", RT 30/10 Kelurahan Melayu ,
11, VIHARA (BUDDHAYANA) METTA BHAWANA , 观音堂/斋堂(华度背) , N  00º  , 54' 48 ," 39"" ", Jl. Hermansyah No.25 ,
, JL. HERMANSYAH ,   Guan Yin Tang / Zhai Tang (Hua Du Bei) , E 108º  , 59' 11 ," 43"" ", RT 26/07 Kelurahan Melayu ,
12, VIHARA PARITTA PANDANA (SIN FO CAI THONG) , 瑑善宮(新和斋堂) , N  00º  , 54' 34 ," 59"" ", Jl. Dwi Tunggal , BUDDHAYANA 
, JL. HERMANSYAH ,   Zhuan Shan Tang (Xin He Zhai Tang) , E 108º  , 59' 01 ," 83"" ", RT 33/09 Kelurahan Melayu ,
13, VIHARA VIMALA KIRTI , 尼西莲庄休佛堂 , N  00º  , 54' 52 ," 16"" ", Jl. Pembangunan No.17 , NICIREN SYOSYU 
, JL. PEMBANGUNAN ,   Ni Xi Lian Zhuang Xiu Fo Tang , E 108º  , 58' 08 ," 90"" ", RT 07/02 Kelurahan Melayu ,
14, CETIYA SAK CHI THAN , 石慈坛 , N  00º  , 55' 02 ," 10"" ", Jl. Parit Ketapang 2 ,
, JL. PARIT KETAPANG ,   Shi Ci Tan , E 108º  , 59' 08 ," 59"" ", RT 15/03 Kelurahan Melayu ,
15, VIHARA TRIDHARMA BUMI RAYA THAI PAK KUNG , 大伯公(三条港) , N  00º  , 53' 50 ," 31"" ", Jl. Alianyang No.46 ,
, JL. ALIANYANG ,   Da Bo Gong (San Tiao Gang , E 108º  , 58' 16 ," 31"" ", RT 34/14 Kelurahan Pasiran ,
16, YAYASAN DHARMA AVALOKITESVARA , 守孝公共佛堂 , N  00º  , 54' 39 ," 61"" ", Jl. Tani ,
, Jl. ALIANYANG ,   Shou Xiao Gong Gong Fo Tang , E 108º  , 58' 34 ," 98"" ", RT 04/01 Kelurahan Kuala ,
17, VIHARA BUDHI MAKMUR , 兴毅南兴佛堂 , N  00º  , 54' 22 ," 90"" ", Jl. Alianyang No.7C ,
, Jl. ALIANYANG ,   Xing Yi Nan Xing Fo Tang , E 108º  , 58' 39 ," 37"" ", RT 43/06 Kelurahan Pasiran ,
18, VIHARA CUNG NYI THONG , 忠义堂 , N  00º  , 54' 44 ," 63"" ", Jl. Alianyang Gg. Lestrari ,
, Jl. ALIANYANG ,   Zhong Yi Tang , E 108º  , 58' 55 ," 01"" ", RT 23/08 Kelurahan Melayu ,
19, CETIYA SHIN NUNG MIAU / NG KUK JA , 神农庙/五谷爷 , N  00º  , 54' 26 ," 00"" ", Jl. Tani  ,
, JL. TANI ,   Shen Nong Miao / Wu Gu Ye , E 108º  , 58' 17 ," 86"" ", RT 14/03 Kelurahan Pasiran ,
20, VIHARA MAITREYA BAHTERA SUCI , 道岸佛堂 , N  00º  , 54' 51 ," 93"" ", Jl. Tani Gg. Restu No.39 ,
, JL. TANI ,   Dao An Fo Tang , E 108º  , 58' 47 ," 58"" ", RT 02/01 Kelurahan Kuala ,
21, CETIYA FA SAN THAI HEU , 华山大猴庙 , N  00º  , 54' 24 ," 96"" ", Jl. Tani 2 ,
, JL. TANI ,   Hua Shan Da Hou Miao , E 108º  , 58' 15 ," 71"" ", RT 14/03 Kelurahan Pasiran ,
22, CETIYA THAI PAK KUNG , 大伯公庙 , N  00º  , 53' 45 ," 90"" ", Jl. Tani Gg. Padi , Kompleks Bengkel 
, JL. TANI ,   Da Bo Gong Miao , E 108º  , 57' 51 ," 88"" ", RT 34/15 Kelurahan Pasiran , SINAR SURYA 
23, CETIYA TRIDHARMA DEWI PADI / NG KUK PHO , 神农宮/五谷婆 , N  00º  , 54' 07 ," 74"" ", Jl. Tani Gg. Camar ,
, JL. TANI ,   Shen Nong Gong / Wu Gu Po , E 108º  , 58' 11 ," 42"" ", RT 39/15 Kelurahan Pasiran ,
24, CETIYA TRIDHARMA CHI PO KIUNG , 慈保公 , N  00º  , 54' 16 ," 96"" ", Jl. Tani Gg. Nuri ,
, JL. TANI ,   Ci Bao Gong , E 108º  , 58' 06 ," 85"" ", RT 39/15 Kelurahan Pasiran ,
25, CETIYA THIAN SAN KUNG KUNG , 天山公公庙 , N  00º  , 54' 40 ," 52"" ", Jl. Tani Gg. Cimahi ,
, JL. TANI ,   Tian Shan Gong Gong Miao , E 108º  , 58' 26 ," 11"" ", RT 04/01 Kelurahan Kuala ,
26, CETIYA NAM HOI KON JIM NYIONG NYIONG , 南海观音娘娘庙 , N  00º  , 54' 40 ," 15"" ", Jl. Tani Gg. Cimahi ,
, JL. TANI ,   Nan Hai Guan Yin Niang Niang Miao , E 108º  , 58' 25 ," 72"" ", RT 04/01 Kelurahan Kuala ,
27, CETIYA SI THAI THIAN BONG , 四大天王庙 , N  00º  , 54' 37 ," 72"" ", Jl. Tani Gg. Pekong ,
, JL. TANI ,   Si Da Tian Wang Miao , E 108º  , 58' 35 ," 67"" ", RT 04/01 Kelurahan Kuala ,
28, CETIYA KIM SAN PAK KUNG , 金山伯公庙 , N  00º  , 54' 27 ," 30"" ", Jl. Tani Gg. Seksama ,
