NO.,NAMA VIHARA,MANDARIN,GPS,,,ALAMAT,ref_code
1,CETIYA THAI PAK KUNG,大伯公壇(盧萬新路),N 00º,53' 32,"05""",Jl. Baru,
,JALAN BARU-ROBAN,Da Bo Gong Tan (Lu Wan Xin Lu),E 109º,00' 45,"11""",RT 44/09 Kelurahan Roban,
2,VIHARA TRIDHARMA TERATAI,三教堂(盧萬新路),N 00º,53' 19,"16""",Jl. Gunung Roban / Jl. Baru,
,JALAN BARU-ROBAN,San Jiao Tang (Lu Wan Xin Lu),E 109º,00' 21,"58""",RT 57/12 Kelurahan Roban,
3,VIHARA PET TI KIUNG / THAI PAK KUNG,北帝宮-大伯公(盧萬新路),N 00º,53' 25,"87""",Jl. Gunung Roban / Jl. Baru,
,JALAN BARU-ROBAN,Bei Di Gong / Da Bo Gong (Lu Wan Xin Lu),E 109º,00' 09,"62""",RT 57/12 Kelurahan Roban,
4,VIHARA TRIDHARMA UTAMA / THAI PAK KUNG,大伯公廟(盧萬打麻房),N 00º,54' 01,"08""",Jl. Gudang Tama No.20,
,GUDANG TAMA-ROBAN,Da Bo Gong Miao (Lu Wan Da Ma Fang),E 109º,00' 43,"47""",RT 29/08 Kelurahan Roban,
5,CETIYA LO CU THIAN SHI,老祖天師壇(盧萬打麻房),N 00º,54' 02,"49""",Jl. Gudang Tama Gg. Bufa,
,GUDANG TAMA-ROBAN,Lao Zu Tian Shi Tan (Lu Wan Da Ma Fang),E 109º,00' 52,"60""",RT 18/03 Kelurahan Roban,
6,CETIYA KON JIM KIUNG,觀音官(盧萬),N 00º,53' 25,"72""",Jl. Pahlawan,16
,ROBAN,Guan Yin Gong (Lu Wan),E 109º,00' 57,"24""",RT 44/09 Kelurahan Roban,
7,CETIYA THAI PAK KUNG,大伯公廟(盧萬),N 00º,53' 40,"50""",Jl. Pahlawan Gg. Bukit Burung,
,ROBAN,Da Bo Gong Miao (Lu Wan),E 109º,01' 02,"41""",RT 44/09 Kelurahan Roban,
8,CETIYA SI THAI KIM KONG,四大金剛(盧萬),N 00º,53' 42,"75""",Jl. Pahlawan,
,ROBAN,Si Da Jin Gang (Lu Wan),E 109º,00' 45,"48""",RT 26/09 Kelurahan Roban,
9,VIHARA SAM CHIN FAB JAN,三清法院(盧萬),N 00º,53' 43,"20""",Jl. Pahlawan Gg. Sinar Karya,
,ROBAN,San Qing Fa Yuan (Lu Wan),E 109º,00' 36,"60""",RT 26/09 Kelurahan Roban,
10,CETIYA SHI THIAN FUT CU,西天佛祖壇(盧萬),N 00º,53' 43,"35""",Jl. Pahlawan Gg. Sinar Karya,
,ROBAN,Xi Tian Fo Zu Tan (Lu Wan),E 109º,00' 42,"02""",RT 26/09 Kelurahan Roban,
11,VIHARA PANNA / THIAN THAI FO THANG,天泰佛堂(盧萬),N 00º,54' 16,"85""",Jl. KS. Tubun No.28,
,ROBAN,Tian Tai Fo Tang (Lu Wan),E 109º,00' 09,"59""",RT 20/09 Kelurahan Roban,
12,CETIYA LIE KHUI KIUNG,李逵宮(盧萬),N 00º,53' 58,"69""",Jl. KS. Tubun Gg.AA,
,ROBAN,Li Kui Gong (Lu Wan),E 109º,00' 08,"57""",RT 53/11 Kelurahan Roban,
13,CETIYA KIM SAN PAK KUNG,僅山伯公(盧萬),N 00º,53' 58,"74""",Jl. KS. Tubun Gg. Pekong,
,ROBAN,Jin Shan Bo Gong (Lu Wan),E 109º,00' 03,"85""",RT 54/12 Kelurahan Roban,
14,CETIYA NYIUK TI / KON JIN MIAU,玉帝/觀音廟(盧萬),N 00º,53' 59,"00""",Jl. KS. Tubun,
,ROBAN,Yu Di / Guan Yin Miao (Lu Wan),E 109º,00' 09,"47""",RT 53/11 Kelurahan Roban,
15,VIHARA CIN LI FUT THONG,晉礼佛堂(盧萬),N 00º,53' 54,"74""",Jl. KS. Tubun,
,ROBAN,Jin Li Fo Tang (Lu Wan),E 109º,00' 10,"91""",RT 52/11 Kelurahan Roban,
16,CETIYA KUNG KUNG,公公壇(盧萬),N 00º,53' 45,"29""",Jl. KS. Tubun,
,ROBAN,Gong Gong Tan (Lu Wan),E 109º,00' 12,"59""",RT 57/12 Kelurahan Roban,
17,VIHARA LO MAO SUI KHEU PAK KUNG,羅卯水口伯公(盧萬),N 00º,53' 39,"50""",Jl. KS. Tubun,
,ROBAN,Luo Mao Shui Kou Bo Gong (Lu Wan),E 109º,00' 12,"60""",RT 57/12 Kelurahan Roban,
18,VIHARA BUDDHAYANA MAHA KARUNA (ATAS),玉皇殿/觀音堂/北帝堂(盧萬),N 00º,53' 38,"28""",Jl. KS. Tubun,50
,ROBAN (上齋堂-Shang Zhai Tang),Yu Huang Dian / Guan Yin Tang / Bei Di Tang,E 109º,00' 12,"88""",RT 57/12 Kelurahan Roban,
19,VIHARA BUDDHAYANA MAHA KARUNA (BAWAH),觀音堂(盧萬),N 00º,53' 35,"94""",Jl. KS. Tubun,51
,ROBAN (下齋堂-Xia Zhai Tang),Guan Yin Tang (Lu Wan),E 109º,00' 15,"26""",RT 57/12 Kelurahan Roban,
20,CETIYA KON JIM FUT MU,觀音佛母壇(黄泥路),N 00º,54' 29,"30""",Jl. Kalimantan Gg. Lima,
,JL. KALIMANTAN,Guan Yin Fo Mu Tan (Huang Ni Lu),E 108º,59' 47,"49""",RT 09/03 Kelurahan Roban,
21,CETIYA FUT HOI THONG,佛海堂(黄泥路),N 00º,54' 27,"15""",Jl. Kalimantan Gg. P4,
,JL. KALIMANTAN,Fo Hai Tang (Huang Ni Lu),E 108º,59' 42,"35""",RT 08/03 Kelurahan Roban,
22,CETIYA SIAM LO FAB THAN,暹邏法壇(黄泥路),N 00º,54' 29,"76""",Jl. Kalimantan Gg. Tiga,
,JL. KALIMANTAN,Xian Luo Fa Tan (Huang Ni Lu),E 108º,59' 38,"18""",RT 33/07 Kelurahan Condong,
23,CETIYA THAI PAK KUNG KUNG,大伯公公壇(黄泥路),N 00º,54' 26,"86""",Jl. Kalimantan Gg. Tiga,48
,JL. KALIMANTAN,Da Bo Gong Gong Tan (Huang Ni Lu),E 108º,59' 35,"38""",RT 33/07 Kelurahan Condong,
24,VIHARA JIU TET FUT THONG,有德佛堂(黄泥路),N 00º,54' 32,"01""",Jl. Kalimantan,
,JL. KALIMANTAN,You De Fo Tang (Huang Ni Lu),E 108º,59' 38,"62""",RT 36/07 Kelurahan Condong,
25,VIHARA FONG THAI NYIAN SAI / CHOI LAM SHIN,方大元帥廟/菜籃神(黄泥路),N 00º,54' 33,"55""",Jl. Kalimantan Gg. Satu,
,JL. KALIMANTAN,Fang Da Yuan Shuai Miao / Cai Lan Shen,E 108º,59' 34,"98""",RT 32/07 Kelurahan Condong,
26,KELENTENG THAI PAK KUNG KUNG,大伯公公廟(黄泥路),N 00º,54' 30,"96""",Jl. Hulu,49
,JL. HULU / JL. KALIMANTAN,Da Bai Gong Gong Miao (Huang Ni Lu),E 108º,59' 35,"06""",RT 33/07 Kelurahan Condong,
27,CETIYA BUN KIUNG FAB,文宮法壇(港尾),N 00º,54' 30,"11""",Jl. Hulu,
,JL. HULU,Wen Gong Fa Tan (Gang Wei),E 108º,59' 33,"42""",RT 32/07 Kelurahan Condong,
28,VIHARA GITA TRIRATNA,接善堂/齋堂(港尾),N 00º,54' 28,"86""",Jl. Hulu,
,JL. HULU,Jie Shan Tang / Zhai Tang (Gang Wei),E 108º,59' 35,"38""",RT 33/07 Kelurahan Condong,
29,CETIYA CHAU LIU LIN THAN,趙劉靈壇,N 00º,54' 33,"27""",Jl. Budi Utomo No.8A,
,JL. BUDI UTOMO,Zhao Liu Ling Tan,E 108º,59' 23,"28""",RT 23/05 Kelurahan Condong,
30,ALTAR KELUARGA TJHIA,謝恊勝祖屋壇,N 00º,54' 37,"10""",Jl. Budi Utomo,
,KAWASAN TRADISIONAL,Xie Xie Sheng Zu Wu Tan,E 108º,59' 24,"89""",RT 23/05 Kelurahan Condong,
31,YAYASAN DHARMA SUCI MULIA,五福真君廟,N 00º,54' 39,"49""",Jl. Pemuda Gg. Tabrani H. Ahmad,
,JL. PEMUDA,Wu Fu Zhen Jun Miao,E 108º,59' 26,"96""",RT 22/05 Kelurahan Condong,
32,CETIYA CHO FUK KIUNG,坐福宮,N 00º,54' 37,"93""",Jl. Pemuda Gg. Tabrani H. Ahmad,
,JL. PEMUDA,Zuo Fu Gong,E 108º,59' 27,"54""",RT 22/05 Kelurahan Condong,
33,CETIYA LIM PAK KUNG,林伯公壇(海望),N 00º,55' 13,"03""",Kawasan Terminal Induk,
