 NO. , NAMA VIHARA , MANDARIN , GPS ,,, ALAMAT , DESCRIPTION 
1, CETIYA FA KONG THAI TI , 华光大帝坛(马呀梭吧) , N  00º  , 53' 58 ," 15"" ", Jl. Raya Seluang ,
, MAYASOPA ,   Hua Guang Da Di Tan (Ma Ya Suo Ba) , E 109º  , 07' 28 ," 42"" ", RT 03/02 Kelurahan Mayasopa ,
2, CETIYA KIU THO NYIAN SAI , 九道元帅坛(岜加沙哇) , N  00º  , 52' 14 ," 29"" ", Jl. Raya Bagak Sahwa ,
, BAGAK SAHWA ,   Jiu Dao Yuan Shuai Tan (Ba Jia Sha Wa) , E 109º  , 05' 13 ," 54"" ", RT 03/01 Kelurahan Bagak Sahwa ,
3, CETIYA FA NGOK KIUNG , 华嶽宮(岜加沙哇) , N  00º  , 52' 15 ," 59"" ", Jl. Raya Bagak Sahwa ,
, BAGAK SAHWA ,   Hua Yue Gong (Ba Jia Sha Wa) , E 109º  , 05' 10 ," 95"" ", RT 03/01 Kelurahan Bagak Sahwa ,
4, VIHARA THI CU THAI PAK KUNG KUNG , 地主大伯公公廟(岜加沙哇) , N  00º  , 52' 13 ," 66"" ", Jl. Raya Bagak Sahwa ,
, BAGAK SAHWA ,   Di Zhu Da Bo Gong Gong Miao (Ba Jia Sha Wa) , E 109º  , 04' 53 ," 38"" ", RT 03/01 Kelurahan Bagak Sahwa ,
5, CETIYA CUNG NYI THONG , 忠义堂(巴仁丹) , N  00º  , 52' 53 ," 07"" ", Jl. Raya Pajintan ,
, PAJINTAN ,   Zhong Yi Tang (Ba Ren Dan) , E 108º  , 01' 56 ," 14"" ", RT 08/03 Kelurahan Pajintan ,
6, VIHARA KON JIM THONG , 观音堂(巴仁丹) , N  00º  , 52' 55 ," 32"" ", Jl. Raya Pajintan ,
, PAJINTAN ,   Guan Yin Tang (Ba Ren Dan) , E 109º  , 01' 45 ," 68"" ", RT 07/03 Kelurahan Pajintan ,
7, VIHARA SUI TET KIUNG , 水徳宮(福律) , N  00º  , 52' 57 ," 67"" ", Jl. Pasar Kulor ,
