 NO. , NAMA VIHARA , MANDARIN , GPS ,,, ALAMAT , DESCRIPTION 
1, VIHARA NAN MO FUT MU , 南無佛母廟(十条港) , N  00º  , 59' 30 ," 19"" ", Jl. H. Bakar ,
, SEMELAGI KECIL ,   Nan Mo Fo Mu Miao (Shi Tiao Gang) , E 108º  , 59' 24 ," 29"" ", RT 02/01 Kelurahan Semelagi Kecil ,
2, VIHARA SAM BU CIONG KIUN , 三武將军廟(八条港) , N  00º  , 58' 11 ," 36"" ", Jl. Hamid Matali ,
, SETAPUK KECIL ,   San Wu Jiang Jun Miao (Ba Tiao Gang) , E 109º  , 01' 24 ," 45"" ", RT 02/01 Kellurahan Setapuk Kecil ,
3, VIHARA KON JIM - NACA - SAMPO KIUNG , 观音-哪吒-三宝宮(八条港) , N  00º  , 58' 10 ," 61"" ", Jl. Hamid Matali ,
, SETAPUK KECIL ,   Guan Yin-Na Zha-San Bao Gong (Ba Tiao Gang) , E 109º  , 00' 57 ," 78"" ", RT 04/01 Kellurahan Setapuk Kecil ,
4, VIHARA THAI PAK KUNG KUNG , 大伯公公廟(八条港) , N  00º  , 58' 23 ," 79"" ", Jl. Hamid Matali , Pengurus Bong Sin Jung 
, SETAPUK KECIL ,   Da Bo Gong Gong Miao (Ba Tiao Gang) , E 108º  , 59' 22 ," 81"" ", RT 08/03 Kellurahan Setapuk Kecil , 0813 4446 8899 
5, CETIYA THAI PAK KUNG , 大伯公坛(七条港) , N  00º  , 58' 04 ," 14"" ", Jl. Ratu Sepudak ,
, SETAPUK KECIL ,   Da Bo Gong Miao (Qi Tiao Gang) , E 108º  , 59' 12 ," 79"" ", RT 08/03 Kellurahan Setapuk Kecil ,
6, CETIYA TRIDHARMA BUMI RAYA , 神農圣帝廟(六条港) , N  00º  , 57' 45 ," 13"" ", Jl. Yunus Yakub ,
, SEI. RASAU ,   Shen Nong Sheng Di Miao (Liu Tiao Gang) , E 108º  , 59' 14 ," 51"" ", RT 02/01 Kelurahan Sei. Rasau ,
7, CETIYA NYI THAI CI , 二太子廟(六条港) , N  00º  , 57' 44 ," 47"" ", Jl. Yunus Yakub ,
, SEI. RASAU ,   Er Tai Zi Miao (Liu Tiao Gang) , E 108º  , 59' 19 ," 66"" ", RT 02/01 Kelurahan Sei. Rasau ,
8, VIHARA SHIN NUNG KIUNG , 神農宮(五条港) , N  00º  , 57' 20 ," 90"" ", Jl. Mesjid ,
, SEI. BULAN ,   Shen Nong Gong (Wu Tiao Gang) , E 108º  , 59' 19 ," 45"" ", RT 09/04 Kelurahan Sei. Bulan ,
9, VIHARA CHAU THAI NYIAN SAI , 元帅堂(四条港) , N  00º  , 56' 25 ," 42"" ", Jl. Trisula No.40 , Pemilik Bun Ali 
, NARAM ,   Yuan Shuai Tang (Si Tiao Gang) , E 109º  , 00' 17 ," 78"" ", RT 07/03 Kelurahan Naram ,
10, VIHARA TRIDHARMA BUMI RAYA , 大伯公坛(四条港) , N  00º  , 56' 37 ," 05"" ", Jl. Sei. Nangka  ,
, NARAM ,   Da Bo Gong Tan (Si Tiao Gang) , E 109º  , 00' 24 ," 85"" ", RT 05/02 Kelurahan Naram ,
11, CETIYA SAM BONG KIUNG , 三王宮(四条港) , N  00º  , 56' 37 ," 07"" ", Jl. Gunung Kaba' No.25 ,
, NARAM ,   San Wang Gong (Si Tiao Gang) , E 109º  , 00' 16 ," 12"" ", RT 04/02 Kelurahan Naram ,
12, CETIYA KIM CAU KUNG , 金照宮(四条港) , N  00º  , 56' 45 ," 62"" ", Jl. Sei. Nangka Gg. Jeruk ,
, NARAM ,   Jin Zhao Gong (Si Tiao Gang) , E 109º  , 00' 21 ," 47"" ", RT 04/02 Kelurahan Naram ,
13, CETIYA LIN FAB THONG , 灵法堂(三条港) , N  00º  , 56' 24 ," 59"" ", Jl. Semai ,
, SEI. GARAM HILIR ,   Ling Fa Tang (San Tiao Gang) , E 108º  , 59' 46 ," 20"" ",  05/04 Kelurahan Sei. Garam Hilir ,
14, VIHARA LIM BU CIONG KIUN , 林武將军廟(三条港) , N  00º  , 55' 58 ," 57"" ", Jl. Ratu Sepudak Gg. Sepakat ,
, SEI. GARAM HILIR ,   Lin Wu Jiang Jun Miao (San Tiao Gang) , E 108º  , 58' 57 ," 42"" ", RT 05/04 Kelurahan Sei. Garam Hilir ,
15, CETIYA TRIDHARMA PANCA SADDHA , 大伯公坛(三条港) , N  00º  , 55' 52 ," 81"" ", Jl. Terminal Induk Gg. Kesehatan ,
, SEI. GARAM HILIR ,   Da Bo Gong Tan (San Tiao Gang) , E 108º  , 58' 46 ," 98"" ", RT 09/04 Kelurahan Sei. Garam Hilir ,
