name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no
CETIYA FAB SHI KUNG KUNG,法師公公壇(長沙吧),Fa Shi Gong Gong Tan (Zhang Sha Ba),PASIR PANJANG,0.8502777777777778,108.88694444444445,"Jl. Pasir Panjang Pak Lotay, RT 64/10 Kelurahan Sedau",
CETIYA FUK SHIN BONG KIUNG,福聖王宮(锅麻港),Fu Sheng Wang Gong (Guo Ma Gang),BOKMAKONG - PASIR PANJANG,0.8352777777777778,108.89777777777779,"Jl. Raya Pasir Panjang (Bokmakong), RT 65/10 Kelurahan Sedau",
VIHARA SHIN TET KIUNG,聖德宮(禮朗),Sheng De Gong (Li Lang),GUNUNG BESI - LIRANG,0.8402777777777778,108.91527777777779,"Jl. Lirang Proyek, RT 49/08 Kelurahan Sedau",
VIHARA DHARMA BUDDHA MAITREYA,彌勒大道仁中佛堂(禮朗),Mi Le Da Dao Ren Zhong Fo Tang (Li Lang),GUNUNG BESI - LIRANG,0.8380555555555556,108.91722222222222,"Jl. Lirang Proyek, RT 50/08 Kelurahan Sedau",
VIHARA FUK BONG KIUNG,福王宮(禮朗),Fu Wang Gong (Li Lang),GUNUNG BESI - LIRANG,0.7702777777777778,108.905,"Jl. Lirang Proyek, RT 53/08 Kelurahan Sedau",
VIHARA FUT FAB KIUNG,佛法宮(禮朗),Fo Fa Gong (Li Lang),GUNUNG BESI - LIRANG,0.8400000000000001,108.91805555555555,"Jl. Pendidikan (Lirang Proyek), RT 50/08 Kelurahan Sedau",
VIHARA FAB CHIN MIAU,法清廟(礼朗),Fa Qing Miao (Li Lang),GUNUNG BESI (LIRANG),0.8477777777777779,108.91972222222223,"Jl. Gunung Besi Raya, RT 48/08 Kelurahan Sedau",
VIHARA FUK TET KIUNG / KON THIAN PAK KUNG,福德宮/官田伯公(禮朗),Fu De Gong / Guan Tian Bo Gong (Li Lang),GUNUNG BESI - LIRANG,0.8530555555555556,108.9238888888889,"Jl. Telkom Gunung Besi, RT 47/08 Kelurahan Sedau",38
CETIYA SAK CIONG KIUN,石将宮(禮朗),Shi Jiang Gong (Li Lang),GUNUNG BESI - LIRANG,0.8497222222222223,108.92361111111111,"Jl. Telkom Gunung Besi, RT 47/08 Kelurahan Sedau",
VIHARA HONG DE,宏德佛堂(禮朗),Hong De Fo Tang (Li Lang),GUNUNG BESI - LIRANG,0.8533333333333333,108.92611111111111,"Jl. Sejahtera No.55, RT 46/08 Kelurahan Sedau",
CETIYA THO FAB SIU LIN,道法授靈壇(亜答港),Dao Fa Shou Ling Tan (Ya Da Gang),SEDAU,0.861111111111111,108.90444444444445,"Jl. Malindo Teluk Karang Gg. PDAM, RT 39/07 Kelurahan Sedau",
CETIYA LIN SAN KIUNG THONG,靈山宮堂(亜答港),Ling Shan Gong Tang (Ya Da Gang),SEDAU,0.86,108.9038888888889,"Jl. Malindo Teluk Karang Gg. PDAM, RT 39/07 Kelurahan Sedau",
VIHARA PET TI KIUNG,北帝宮(亜答港),Bei Di Gong (Ya Da Gang),SEDAU,0.8641666666666666,108.92694444444444,"Jl. Malindo Teluk Karang, RT 40/07 Kelurahan Sedau",36
VIHARA SAM CHIN FAB JAN,三清法院(亜答港),San Qing Fa Yuan (Ya Da Gang),SEDAU,0.8694444444444445,108.92611111111111,"Jl. Malindo Teluk Karang No.01, RT 41/07 Kelurahan Sedau",37
VIHARA KON JIM MIAU,觀音廟(亜答港),Guan Yin Miao (Ya Da Gang),SEDAU,0.8569444444444444,108.91777777777779,"Jl. Malindo Teluk Karang (Dalam), RT 40/07 Kelurahan Sedau",
VIHARA TRIDHARMA BUMI RAYA,大伯公廟(亜答港),Da Bo Gong Miao (Ya Da Gang),SEDAU,0.8658333333333333,108.92861111111111,"Jl. Raya Pasar Sedau, RT 36/06 Kelurahan Sedau",26
VIHARA SAM SHIN KIUNG,三聖宮(亜答港),San Sheng Gong (Ya Da Gang),SEDAU,0.8652777777777777,108.92888888888889,"Jl. Raya Pasar Sedau, RT 36/06 Kelurahan Sedau",25
VIHARA TRIDHARMA BUMI RAYA,石狮大伯公廟(鹽町),Shi Shi Da Bo Gong Miao (Yan Ting),JALAN RAYA SEDAU,0.8702777777777778,108.93611111111112,"Jl. Raya Sedau, RT 30/06 Kelurahan Sedau",10
VIHARA THAI PAK KUNG KUNG,大伯公公(鹽町),Da Bo Gong Gong (Yan Ting),KALIASIN LUAR,0.8711111111111112,108.94250000000001,"Jl. Pasar Kaliasin, RT 23/04 Kelurahan Sedau",
VIHARA KON TI KIUNG,關帝宮(鹽町),Guan Di Gong (Yan Ting),KALIASIN,0.8708333333333333,108.94166666666668,"Jl. Kaliasin Dalam, RT 29/05 Kelurahan Sedau",
CETIYA CHIANG FA THAI CI MIAU,青华太子廟(鹽町肚),Qing Hua Tai Zi Miao (Yan Ting Du),KALIASIN DALAM,0.86,108.94333333333334,"Jl. Kaliasin Dalam Gg. Naca, RT 02/01 Kelurahan Sedau",
VIHARA THAI PAK KUNG,大伯公廟(鹽町肚),Da Bo Gong Miao (Yan Ting Du),KALIASIN DALAM,0.861111111111111,108.94472222222223,"Jl. Kaliasin Dalam, RT 25/05 Kelurahan Sedau",
VIHARA NACA HANG KIUNG (THAI CI SAN),哪吒行宮(鹽町肚-太子山),Na Zha Hang Gong (Yan Ting Du-Tai Zi Shan),KALIASIN DALAM,0.8622222222222222,108.94916666666667,"Jl. Kaliasin Dalam Gg. Kelenteng Naca, RT 26/05 Kelurahan Sedau",
CETIYA SAM KON MIAU,三官廟(鹽町肚),San Guan Miao (Yan Ting Du),KALIASIN DALAM,0.855,108.95444444444445,"Jl. Kaliasin Dalam Gg. Durian, RT 26/05 Kelurahan Sedau",
VIHARA THIAN LIN FAB KIUNG,天靈法宮(鹽町肚),Tian Ling Fa Gong (Yan Ting Du),(JONG THAI PAK KUNG) KALIASIN DALAM,0.8577777777777778,108.94777777777779,"Jl. Kaliasin Dalam, RT 26/05 Kelurahan Sedau",
VIHARA SI FONG PAK KUNG,西方伯公廟(鹽町肚),Xi Fang Bo Gong Miao (Yan Ting Du),KALIASIN DALAM,0.8572222222222222,108.94777777777779,"Jl. Kaliasin Dalam, RT 26/05 Kelurahan Sedau",
VIHARA FUK NUNG KIUNG / SUI KHEU PAK KUNG,福農宮/水口伯公(鹽町肚),Fu Nong Gong / Shui Kou Bo Gong (Yan Ting Du),KALIASIN DALAM,0.855,108.94611111111111,"Jl. Kaliasin Dalam, RT 27/05 Kelurahan Sedau",
CETIYA FAB MIN KIUNG,法民宮(鹽町肚),Fa Min Gong (Yan Ting Du),KALIASIN DALAM,0.8533333333333333,108.94583333333334,"Jl. Kaliasin Dalam, RT 27/05 Kelurahan Sedau",
VIHARA KON JIM MIAU,觀音廟(鹽町肚),Guan Yin Miao (Yan Ting Du),KALIASIN DALAM,0.8477777777777779,108.9575,"Jl. Kaliasin Dalam Gg. Sip Si Sha Thon, RT 27/05 Kelurahan Sedau",
CETIYA SAM CHIN KIUNG,三清宮(鹽町肚),San Qing Gong (Yan Ting Du),KALIASIN DALAM,0.8480555555555556,108.94500000000001,"Jl. Kaliasin Dalam Gg. Cetya, RT 28/05 Kelurahan Sedau",
CETIYA FUK HIN THONG,福興堂(鹽町肚),Fu Xing Tang (Yan Ting Du),KALIASIN DALAM,0.8416666666666667,108.95166666666667,"Jl. Kaliasin Dalam, RT 29/05 Kelurahan Sedau",
CETIYA HIAN BONG MIAU,玄黄廟(鹽町肚-港尾),Xian Huang Miao (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.8377777777777778,108.95333333333333,"Jl. Kong Mui Kaliasin Dalam Gg. CHJ, RT 29/05 Kelurahan Sedau",
CETIYA KHIAN NYIAN KIUNG,乾元宮(鹽町肚-港尾),Qian Yuan Gong (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.8327777777777777,108.95055555555555,"Jl. Kong Mui Kaliasin Dalam, RT 29/05 Kelurahan Sedau",
VIHARA KON TI KIUNG,關帝宮(鹽町肚-港尾),Guan Di Gong (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.8280555555555555,108.94805555555556,"Jl. Kong Mui Kaliasin Dalam, RT 29/05 Kelurahan Sedau",
CETIYA TRIDHARMA BUMI RAYA KONG MUI,福德宮/大伯公(鹽町肚-港尾),Fu De Gong / Da Bo Gong (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.8211111111111111,108.94055555555556,"Jl. Kong Mui Kaliasin Dalam, RT 29/05 Kelurahan Sedau",
CETIYA FUK TET KIUNG,福德宮(茅屋肚),Fu De Gong (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.8702777777777778,108.95222222222222,"Jl. Budi Agung (Saliung) Kelurahan Sedau, Pemakaman Abadi Miong Buk Tu",
CETIYA THAI PAK KUNG KUNG,大伯公壇(茅屋肚),Da Bo Gong Tan (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.8694444444444445,108.95027777777779,"Jl. Budi Agung (Saliung) Gg. Ciu Long, RT 18/04 Kelurahan Sedau",
CETIYA PO ON THAN,保安壇(茅屋肚),Bao An Tan (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.8736111111111111,108.95027777777779,"Jl. Budi Agung (Saliung), RT 18/04 Kelurahan Sedau",
CETIYA PO SAN LO MU,寳山老母壇(茅屋肚),Bao Shan Lao Mu Tan (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.8686111111111111,108.95222222222222,"Jl. Budi Agung (Saliung), RT 18/04 Kelurahan Sedau",
VIHARA THIAN HEU KIUNG / CHIAP THIAN KIUNG,天后宮/協天宮(沙壟),Tian Hou Gong / Xie Tian Gong (Sha Long),PADANG PASIR (SALIUNG),0.8775000000000001,108.94972222222222,"Jl. Raya Padang Pasir (Saliung), RT 17/04 Kelurahan Sedau",
VIHARA TRIDHARMA SETYA BUMI RAYA,大伯公公廟(沙壟),Da Bo Gong Gong Miao (Sha Long),PADANG PASIR (SALIUNG),0.8783333333333334,108.95083333333334,"Jl. Raya Padang Pasir (Saliung), RT 17/04 Kelurahan Sedau",
VIHARA KHIAN TET KIUNG,乾德宮(沙壟),Qian De Gong (Sha Long),PADANG PASIR (SALIUNG),0.8883333333333333,108.95944444444444,"Jl. Raya Padang Pasir (Saliung), RT 08/02 Kelurahan Sedau",
VIHARA THAI PAK KUNG,大伯公廟(沙壟),Da Bo Gong Miao (Sha Long_,PADANG PASIR (SALIUNG),0.8844444444444444,108.95583333333333,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau",
CETIYA THI CU PAK KUNG,地主公壇(沙壟-監獄),Di Zhu Bo Gong Tan (Sha Long-Jian Yu),(LEMBAGA PEMASYARAKATAN),0.8833333333333333,108.95666666666666,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau",
VIHARA DHARMA BUDDHA MAITREYA,彌勒大道仁中佛堂(沙壟),Mi Le Da Dao Ren Zhong Fo Tang (Sha Long),PADANG PASIR (SALIUNG),0.8844444444444444,108.95444444444445,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau",
VIHARA THI CU KUNG (KIM LIUNG PAK KUNG),地主公廟/金龍伯公(沙壟),Di Zhu Gong Miao / Jin Long Bo Bong (Sha Long),PADANG PASIR (SALIUNG),0.8805555555555555,108.95444444444445,"Jl. Laksitarda (Saliung), RT 16/04 Kelurahan Sedau",
VIHARA FA NGOK KIUNG,華嶽宮(沙壟),Hue Yue Gong (Sha Long),PADANG PASIR (SALIUNG),0.8775000000000001,108.95611111111111,"Jl. Laksitarda (Saliung), RT 16/04 Kelurahan Sedau",
VIHARA CAKRAWALA DHARMA SINGKAWANG,誠德佛堂(沙壟),Cheng De Fo Tang (Sha Long),PADANG PASIR (SALIUNG),0.8816666666666667,108.95416666666667,"Jl. Latsitarda (Saliung), RT 16/04 Kelurahan Sedau",
VIHARA KHOI SAN THI CU PAK KUNG,開山地主大伯公廟(高杯山),Kai Shan Di Zhu Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.8672222222222222,108.96305555555556,"Jl. Tanjung Batu Dalam, RT 14/03 Kelurahan Sedau",
CETIYA FAB THO CIN NYIN,法道真人壇(高杯山),Fa Dao Zhen Ren Tan (Gao Bei Shan),KOPISAN,0.8669444444444445,108.9625,"Jl. Tanjung Batu Dalam, RT 14/03 Kelurahan Sedau",
CETIYA KIU THIAN HIAN NG CUN SHIN,九天玄女尊神壇(高杯山),Jiu Tian Xian Nu Zun Shen Tan (Gao Bei Shan),KOPISAN,0.8627777777777778,108.96833333333333,"Jl. Tanjung Batu Dalam (Kopisan), RT 15/03 Kelurahan Sedau",
CETIYA JIN FUK KUI THONG,引福歸堂(高杯山),Yin Fu Gui Tang (Gao Bei Shan),KOPISAN,0.8627777777777778,108.97,"Jl. Tanjung Batu Dalam (Kopisan) Gg. Bugis, RT 15/03 Kelurahan Sedau",
VIHARA BUMI RAYA THAI PAK KUNG,大伯公廟(高杯山),Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.8730555555555556,108.96611111111112,"Jl. Tanjung Batu Dalam, RT 11/03 Kelurahan Sedau",
