UID,altar_Name,address,village,gps_lat,gps_lon,region,num_photos,photo_ref,pantak
,," No. 12D, RT 60",,,108.98513333333334,,,, Y 
WP2, CHIN SAN THAI BONG ," Jl. P. Diponegoro Gg. Tujuh Belas, Pasiran  No. 64, RT 56",Parisan,0.902325,108.98180833333333,West,,141, N 
WP3, NO NAME ," Jl. P. Diponegoro Gg. Tujuh Belas, Pasiran  No. 5A, RT 56",Parisan,0.9029166666666667,108.98087222222222,West,,142, N 
WP4, CHIAU SAN PAK KUNG ," Jl. P. Diponegoro Gg. Empat Lima, Pasiran  No. 12, RT 56",Parisan,0.9044,108.98314166666667,West,,144, N 
WP5, NG FU LIN CIONG ," Jl. P. Diponegoro Gg. Proklamasi, Pasiran  No. 8I, RT 50",Parisan,0.9018055555555555,108.98165277777778,West,,140, N 
WP6, FUT FAB THAN ," Jl. P. Diponegoro Gg. Wisata, Kel. Pasiran  No. 80, RT 50",Parisan,0.9008944444444444,108.9811,West,,94, Y 
WP7, KIM SAN PAK KUNG ," Jl. P. Diponegoro Gg. Wisata, Kel. Pasiran  No. 119, RT 50",Parisan,0.9016194444444444,108.98043055555556,West,,95, N 
WP8, MASTER LU  ," Jl. P. Diponegoro Gg. Agustus, Pasiran  No. 40, RT 56",Parisan,0.9034972222222223,108.98274444444445,West,,143, N 
WP9, LO ZHU SHIN TI KUNG ," Jl. P. Diponegoro Gg. Empat Lima, Pasiran  No. 33, RT 44",Parisan,0.9040583333333334,108.98379722222222,West,,145, N 
WP10, DATUK SUNGKUNG ," Jl. P. Diponegoro Gg. Empat Lima, Pasiran  No. 31, RT 44",Parisan,0.9039416666666666,108.98387777777778,West,,146, N 
WP11, BU CHIUNG CIONG KIUN ," Jl. P. Diponegoro Gg. Timur, Kel. Pasiran , RT 51",Parisan,0.8995666666666666,108.97964166666667,West,,136, N 
WP12, KONG THIAN FA NYIT ," Jl. P. Diponegoro Gg. Timur, Kel. Pasiran  No. 45, RT 51",Parisan,0.8997777777777778,108.97975277777778,West,,137, N 
WP13, LI PHAK KUNG KUNG ," Jl. Firdaus H. Rais Gg. Ardio, Kel. Pasiran  No. 73, RT 50",Parisan,0.9016416666666667,108.9798,West,,96, N 
WP14, JIM JONG THAN ," Jl. Firdaus H. Rais Gg. Ardio, Kel. Pasiran  No. 21, RT 50",Parisan,0.9014972222222223,108.97992777777777,West,,299, N 
WP15, PIT TET CIONG KIUN ," Jl. Yohana Godang Gg. Sederhana, Pasiran  No. 84, RT 48",Parisan,0.8994916666666667,108.984525,West,,114, N 
WP16, MUNG KU THAI CI ," Jl. Yohana Godang Gg. Sederhana, Pasiran  No. 82, RT 48",Parisan,0.8997166666666666,108.98440555555555,West,,298, N 
WP17, FAB SHI LIN THAN ," Jl. Tani, Kel. Pasiran  No. 99, RT 42",Parisan,0.9063805555555555,108.97343055555555,West,,210, N 
WP18, PIT TET SEN KIUN ," Jl. Tani, Kel. Pasiran  No. 86, RT 42",Parisan,0.9072138888888889,108.97400277777778,West,,211, N 
WP19, KON JIM FUT MU ," Jl. Tani Gg. Seksama 2, Kel. Pasiran  No. 102B, RT 42",Parisan,0.9087444444444445,108.97269722222222,West,,214, N 
WP20, SAM THAI THIAN BONG ," Jl. Tani Gg. Seksama 2, Kel. Pasiran  No. A6, RT 42",Parisan,0.9091222222222223,108.9739888888889,West,,212, N 
WP21, PHAK SHI KUNG KUNG ," Jl. Tani Gg. Seksama 2, Kel. Pasiran  No. A1, RT 42",Parisan,0.9089972222222222,108.97423611111111,West,,215, N 
WP22, PHAK LIAN SHI KUNG ," Jl. Tani Gg. Seksama 2, Kel. Pasiran  No. 70, RT 42",Parisan,0.9086861111111111,108.97351944444445,West,,216, N 
WP23, KON JIM FUT MU ," Jl. Tani Gg. Seksama 2, Kel. Pasiran  No. 71, RT 42",Parisan,0.9087972222222223,108.97347222222223,West,,217, N 
WP24, NYI BONG CHIAN SOI ," Jl. Tani Gg. Seksama 2, Kel. Pasiran  No. 68, RT 42",Parisan,0.9084722222222222,108.97388055555555,West,,218, N 
WP25, THAI CU SHIN TI ," Jl. Tani Gg. Seksama 2, Kel. Pasiran  No. 21, RT 42",Parisan,0.9076638888888889,108.9706861111111,West,,219, N 
WP26, CHAU KONG NYIAN SAI ," Jl. Tani Gg. Taman Buah Naga, Pasiran  No. 38, RT 40",Parisan,0.9046527777777778,108.9715638888889,West,,208, N 
WP27, NO NAME ," Jl. Tani II, Kel. Pasiran  No. 58B, RT 40",Parisan,0.90615,108.96966944444445,West,,209, N 
WP28, BU MIAN CIONG KIUN ," Jl. Tani, Kel. Pasiran  No. 97, RT 40",Parisan,0.9034111111111112,108.97150833333333,West,,207, N 
WP29, CHAU KONG NYIAN SAI ," Jl. Tani, Kel. Pasiran  No. 36, RT 40",Parisan,0.9044916666666667,108.97230555555555,West,,295, N 
WP30, LO SHI KUNG ," Jl. Tani Gg. Cisadane, Kel. Pasiran  No. 46, RT 39",Parisan,0.9003361111111111,108.96709722222222,West,,199, N 
WP31, CUNG NYI THONG ," Jl. Tani Gg. Cisadane, Kel. Pasiran  No. 46, RT 39",Parisan,0.9004472222222223,108.96718055555556,West,,200, N 
WP32, DATUK BUYUR ," Jl. Tani, Kel. Pasiran  No. 99, RT 34",Parisan,0.8953138888888889,108.96577777777777,West,,198, N 
WP33, NG BONG THAI KIUN ," Jl. Alianyang Gg. Seksama, Kel. Pasiran  No. 49A, RT 42",Parisan,0.9071250000000001,108.97675,West,,250, N 
WP34, BUN BU CIONG KIUN ," Jl. Alianyang Gg. Seksama, Kel. Pasiran , RT 42",Parisan,0.9065361111111111,108.97735833333334,West,,249, N 
WP35, CHIANG SAN CIONG KIUN ," Jl. Alianyang Gg. Seksama, Kel. Pasiran  No. 61, RT 42",Parisan,0.9073972222222222,108.97655555555556,West,,251, N 
WP36, CHIAU SAN PAK KUNG ," Jl. Alianyang Gg. Kencana, Kel. Pasiran  No. 3F, RT 42",Parisan,0.906038888888889,108.97614722222222,West,,248, N 
